"","titles","prices","years"
"3507","Mitsubishi Mirage",9e+05,"2012"
"3508","Suzuki Swift",1390000,"2012"
"3509","Honda Fit",985000,"2008"
"3510","Nissan Sunny",180000,"1991"
"3511",NA,NA,NA
"3512","Toyota Plantana",1250000,"2008"
"3513","Audi Q7",5800000,"2012"
"3514","Peugot 406",1e+05,"1998"
"3515","Volkswagen Polo",1800000,"2014"
"3516","Toyota Probox",1150000,"2012"
"3517","Honda Fit",6e+05,"2002"
"3518","Honda Civic",550000,"2003"
"3519","Honda civic",2700000,"2015"
"3520","Nissan wagon",1300000,"2012"
"3521","Nissan Note",1150000,"2012"
"3522",NA,NA,NA
"3523","Toyota Axio",1150000,"2009"
"3524","Hyundai HD45",2100000,"2013"
"3525","Isuzu Up",950000,"2001"
"3526","Honda EG",310000,"1994"
"3527","Mitsubishi Lancer",330000,"1999"
"3528","Toyota Starlet",380000,"1990"
"3529","Toyota Corolla",2e+05,"1988"
"3530","Toyota TACOMA",6800000,"2016"
"3531","Daihatsu ES",699000,"2012"
"3532","Honda Integra",6e+05,"1994"
"3533",NA,NA,NA
"3534","GMC C1500",675000,"1996"
"3535","Toyota wagon",220000,"1997"
"3536","Mitsubishi lancer",4e+05,"2000"
"3537","Nissan Almera",690000,"2004"
"3538","Toyota camry",1680000,"2009"
"3539","Subaru wrx",7e+05,"2003"
"3540","Honda Fit",1200000,"2012"
"3541","Mazda Mazda6",680000,"2007"
"3542","Land LR2",3900000,"2013"
"3543","Honda City",3400000,"2017"
"3544",NA,NA,NA
"3545","Toyota Camry",2300000,"2013"
"3546","Toyota corolla",3400000,"2016"
"3547","Toyota Corolla",465000,"1994"
"3548","Mazda demio",399999,"2002"
"3549","Honda Accord",2e+06,"2011"
"3550","Suzuki Swift",850000,"2009"
"3551","Honda Civic",450000,"1998"
"3552","Nissan Dualis",1550000,"2010"
"3553","Honda civic",3650000,"2017"
"3554","Nissan WAGON",9e+05,"2012"
"3555",NA,NA,NA
"3556","Toyota Vitz",930000,"2009"
"3557","Honda Civic",730000,"2003"
"3558","Toyota flatly",240000,"1990"
"3559","Nissan b13",260000,"1992"
"3560","Honda lx",280000,"1994"
"3561","Toyota Fielder",760000,"2006"
"3562","Nissan Sylphy",1680000,"2012"
"3563","Toyota Camry",620000,"2001"
"3564","Honda City",2900000,"2016"
"3565","Volkswagen Jetta",225000,"1995"
"3566",NA,NA,NA
"3567","Nissan Sunny",5e+05,"2006"
"3568","Nissan Note",1380000,"2013"
"3569","Honda Fit",3300000,"2017"
"3570","Volvo GLT",1e+05,"1993"
"3571","Toyota hiace",650000,"2000"
"3572","Toyota Fielder",1200000,"2008"
"3573","Nissan Tida",1300000,"2012"
"3574","BMW X5",4e+06,"2009"
"3575","Honda Sedan",2e+05,"2002"
"3576","Honda City",2e+05,"2002"
"3577",NA,NA,NA
"3578","Toyota Axio",1650000,"2012"
"3579","Toyota Premio",1550000,"2010"
"3580","Nissan Note",950000,"2012"
"3581","BMW M4",1e+07,"2015"
"3582","Toyota 4",2200000,"2011"
"3583","Toyota Coaster",1300000,"1996"
"3584","BMW 335i",4800000,"2012"
"3585","Isuzu Trooper",4e+05,"1993"
"3586","Mazda 626",270000,"1999"
"3587","Nissan wagon",680000,"2008"
"3588",NA,NA,NA
"3589","Mitsubishi Mx",160000,"1995"
"3590","Honda CRV",720000,"1996"
"3591","Suzuki Swift",1300000,"2012"
"3592","Volkswagen Passat",1800000,"2012"
"3593","Nissan Bluebird",1300000,"2009"
"3594","Toyota Sienta",1450000,"2012"
"3595","BMW X6M",7500000,"2012"
"3596","Toyota Cruiser",9200000,"2014"
"3597","Toyota Corsa",279000,"1994"
"3598","Toyota Corolla",250000,"1990"
"3599",NA,NA,NA
"3600","Nissan March",980000,"2012"
"3601","Nissan carvan",1650000,"2011"
"3602","Toyota marino",450000,"1992"
"3603","Toyota Corolla",650000,"1989"
"3604","Toyota Axio",1350000,"2011"
"3605","Nissan Tiida",750000,"2008"
"3606","BMW 318i",2300000,"2010"
"3607","Subaru Legacy",48000,"2006"
"3608","Toyota camry",370000,"1996"
"3609","Honda CRV",2250000,"2011"
"3610",NA,NA,NA
"3611","Toyota Runx",690000,"2003"
"3612","Honda Fit",810000,"2007"
"3613","Honda Accord",1230000,"2008"
"3614","Honda Crv",490000,"1997"
"3615","Suzuki Vitara",1200000,"2008"
"3616","Subaru Impreza",750000,"2005"
"3617","Suzuki Gsxr",260000,"2008"
"3618","Toyota Premio",2900000,"2014"
"3619","Nissan Tida",810000,"2008"
"3620","Toyota Fortuner",2200000,"2008"
"3621",NA,NA,NA
"3622","Chevrolet cruze",1700000,"2012"
"3623","Toyota BoonPasso",540000,"2006"
"3624","Volkswagen PASSAT",2650000,"2013"
"3625","Daihatsu Mira",520000,"2009"
"3626","Honda Stream",1350000,"2007"
"3627","Toyota 4",3e+06,"2013"
"3628","Honda Civic",2530000,"2015"
"3629","Toyota MarkX",1550000,"2009"
"3630","Honda Civic",510000,"2000"
"3631","Honda Accord",6e+05,"2001"
"3632",NA,NA,NA
"3633","Toyota X",2450000,"2011"
"3634","Acura Intra",6e+05,"2005"
"3635","Toyota Voxy",2680000,"2012"
"3636","Honda Civic",1e+05,"1991"
"3637","Mazda Premacy",1650000,"2011"
"3638","Suzuki Vitara",3000,"1999"
"3639","Acura ILX",3400000,"2016"
"3640","Acura ILX",2650000,"2014"
"3641","Honda Shuttle",1530000,"2012"
"3642","Honda civic",5e+05,"1996"
"3643",NA,NA,NA
"3644","Toyota Probox",1090000,"2012"
"3645","Toyota Carolla",650000,"1999"
"3646","Acura TSX",950000,"2005"
"3647","Leyland Foden",1000,"1994"
"3648","Toyota tire",45000,"2002"
"3649","Nissan cefrio",770000,"2006"
"3650","Toyota axio",2e+06,"2014"
"3651","Nissan Wagon",890000,"2012"
"3652","Honda Fit",630000,"2006"
"3653","Isuzu Truck",7e+05,"1997"
"3654",NA,NA,NA
"3655","Mercedes C250",3600000,"2013"
"3656","Toyota Probox",590000,"2005"
"3657","Suzuki Vitara",1250000,"2009"
"3658","BMW Coupe",1800000,"2007"
"3659","Toyota Altis",720000,"2004"
"3660","Toyota Tercel",360000,"1995"
"3661","Toyota Rav4",1750000,"2011"
"3662","Suzuki swift",160000,"1992"
"3663","Nissan Skyline",1300000,"2006"
"3664","Subaru imprezza",2e+06,"2013"
"3665",NA,NA,NA
"3666","Honda torneo",650000,"1999"
"3667","Nissan B14",450000,"1994"
"3668","BMW msports",1300000,"2006"
"3669","Toyota Venza",1750000,"2009"
"3670","Honda Civic",4e+05,"1996"
"3671","Subaru WRX",9e+05,"2003"
"3672","Honda Fit",920000,"2009"
"3673","Volkswagen Polo",280000,"1999"
"3674","Ford II",1e+06,"1989"
"3675","Honda eg",430000,"1995"
"3676",NA,NA,NA
"3677","BMW series",1200000,"2004"
"3678","Toyota Corolla",399000,"1996"
"3679","Honda Fit",2e+06,"2015"
"3680","Toyota caldina",350000,"2001"
"3681","Nissan Note",1400000,"2013"
"3682","Toyota Avensis",1100000,"2012"
"3683","Toyota Starlet",385000,"1998"
"3684","Nissan Lafesta",980000,"2011"
"3685","Suzuki Swift",1250000,"2012"
"3686","Suzuki Alto",670000,"2011"
"3687",NA,NA,NA
"3688","Nissan Note",1290000,"2013"
"3689","Toyota wagon",3e+05,"1992"
"3690","Nissan Tiida",690000,"2006"
"3691","Porsche 981",8900000,"2014"
"3692","Toyota CHR",6890000,"2016"
"3693","Toyota Townace",250000,"1992"
"3694","Honda Civic",8e+05,"2005"
"3695","Nissan tiida",750000,"2007"
"3696","Toyota Vitz",1190000,"2012"
"3697","Honda ex",2300000,"2013"
"3698",NA,NA,NA
"3699","Mitsubishi gls",790000,"2002"
"3700","Renault renault",550000,"1994"
"3701","Toyota Primo",710000,"2002"
"3702","Honda Accord",2200000,"2009"
"3703","Honda RSZ",2400000,"2012"
"3704","Toyota Premio",3500000,"2014"
"3705","Mazda Demio",690000,"2009"
"3706","Subaru Impreza",1870000,"2014"
"3707","Nissan Note",1990000,"2012"
"3708","Mitsubishi Grandis",595000,"2006"
"3709",NA,NA,NA
"3710","Honda Aria",8e+05,"2007"
"3711","Nissan Caravan",1500000,"2010"
"3712","Nissan Van",890000,"2012"
"3713","Nissan Van",890000,"2012"
"3714","Hyundai Tucson",1750000,"2012"
"3715","Mitsubishi Sport",795000,"2000"
"3716","Honda Accord",1100000,"2008"
"3717","BMW 530",1450000,"2004"
"3718","Nissan Sunny",430000,"1990"
"3719","Toyota Glanza",390000,"1997"
"3720",NA,NA,NA
"3721","Honda exl",2300000,"2013"
"3722","Toyota Sport",1280000,"2006"
"3723","Nissan Caravan",4550000,"2016"
"3724","Toyota II",460000,"1996"
"3725","Toyota II",460000,"1996"
"3726","Ford Ranger",9e+05,"2008"
"3727","Nissan Cube",435000,"2007"
"3728","Nissan NV350",4550000,"2016"
"3729","Nissan wagon",1150000,"2012"
"3730","Nissan Teana",1700000,"2010"
"3731",NA,NA,NA
"3732","Toyota Corolla",450000,"1996"
"3733","Honda Stream",1470000,"2009"
"3734","Toyota corolla",1470000,"1992"
"3735","Honda Civic",560000,"1999"
"3736","Mazda Demio",950000,"2012"
"3737","Toyota Tundra",7,"2015"
"3738","Honda civic",530000,"2002"
"3739","Toyota GT",4e+05,"1990"
"3740","Toyota shaped",295000,"1995"
"3741","Honda Inspire",150000,"1997"
"3742",NA,NA,NA
"3743","Rover range",4e+06,"2006"
"3744","Ford Foden",2400000,"1993"
"3745","Toyota Allion",1580000,"2009"
"3746","Hyundai Accent",2300000,"2016"
"3747","Honda Civic",3550000,"2016"
"3748","Honda Integra",3e+05,"1997"
"3749","Toyota Altis",870000,"2004"
"3750","Nissan Tiida",1100000,"2011"
"3751","Honda Accord",630000,"2001"
"3752","Toyota Toyota",470000,"1996"
"3753",NA,NA,NA
"3754","Toyota x",1630000,"2009"
"3755","Honda Airwave",985000,"2005"
"3756","Mazda premacy",650000,"2006"
"3757","Toyota Auris",2500000,"2012"
"3758","Honda intergra",260000,"1990"
"3759","Honda Accord",930000,"2003"
"3760","Toyota Avensis",750000,"2007"
"3761","Honda Inspire",1480000,"2009"
"3762","Subaru Impreza",2200000,"2014"
"3763","Honda Civic",6e+05,"2005"
"3764",NA,NA,NA
"3765","Toyota Corolla",175000,"1990"
"3766","Suzuki Vitara",750000,"2004"
"3767","Subaru imprezza",1350000,"2011"
"3768","Nissan wagon",980000,"2012"
"3769","Nissan note",980000,"2012"
"3770","Suzuki Baleno",180000,"1998"
"3771","Honda Civic",750000,"2003"
"3772","Mazda Demio",1350000,"2012"
"3773","Nissan Sentra",1300000,"2011"
"3774","Honda Civic",1399000,"2010"
"3775",NA,NA,NA
"3776","Mitsubishi Pajero",2200000,"2008"
"3777","Toyota Noah",550000,"1999"
"3778","Honda RS",1080000,"2008"
"3779","Acura RSX",3e+05,"2002"
"3780","Toyota Hilux",330000,"1989"
"3781","Peugot 307",450000,"2002"
"3782","Nissan Pathfinder",650000,"2001"
"3783","Toyota VITZ",1295000,"2012"
"3784","Honda FIT",1295000,"2012"
"3785","Honda FIT",695000,"2005"
"3786",NA,NA,NA
"3787","Toyota Ractis",650000,"2010"
"3788","Toyota SV40",360000,"1995"
"3789","Toyota 250G",3e+06,"2014"
"3790","Suzuki Vitara",650000,"2003"
"3791","Nissan TIIDA",990000,"2011"
"3792","Volkswagen polo",520000,"2004"
"3793","BMW M3",3500000,"2008"
"3794","Toyota Starlet",250000,"1993"
"3795","Subaru imprezza",1e+06,"2008"
"3796","Nissan Altima",3e+06,"2015"
"3797",NA,NA,NA
"3798","BMW XDrive",3300000,"2013"
"3799","Honda civic",850000,"2005"
"3800","Suzuki Swift",1500000,"2012"
"3801","Volkswagen Jetta",2400000,"2013"
"3802","Nissan Note",1230000,"2012"
"3803","Honda Civic",8e+05,"2004"
"3804","Nissan Serena",770000,"2002"
"3805","BMW 335i",2e+06,"2008"
"3806","BMW X5",1350000,"2005"
"3807","Nissan GT",2e+06,"2010"
"3808",NA,NA,NA
"3809","Honda Civic",830000,"2004"
"3810","Nissan b15",450000,"2004"
"3811","Honda Torneo",650000,"2001"
"3812","Toyota Starlet",430000,"1995"
"3813","Toyota Axio",1700000,"2012"
"3814","Nissan latio",850000,"2007"
"3815","Honda EXL",5500000,"2017"
"3816","Nissan Vanette",790000,"2006"
"3817","Nissan Tiida",950000,"2010"
"3818","Nissan Note",870000,"2011"
"3819",NA,NA,NA
"3820","Subaru Legacy",1150000,"2007"
"3821","Mazda Premacy",1e+06,"2008"
"3822","Mitsubishi Sport",950000,"2003"
"3823","Nissan Tiida",7e+05,"2007"
"3824","Toyota RS",1880000,"2011"
"3825","Toyota Altis",760000,"2004"
"3826","Honda Fit",1295000,"2012"
"3827","Nissan Sunny",360000,"1995"
"3828","Nissan Note",6e+05,"2008"
"3829","Honda Torneo",750000,"2001"
"3830",NA,NA,NA
"3831","Honda Civic",580000,"1999"
"3832","Honda CRV",1150000,"2002"
"3833","Honda Integra",350000,"1994"
"3834","Toyota inch",23000,"2015"
"3835","Toyota Starlet",370000,"1996"
"3836","Mazda Axela",920000,"2008"
"3837","Ford Cargo",1e+06,"1994"
"3838","Honda Accord",2520000,"2009"
"3839","Toyota x",4150000,"2015"
"3840","BMW x1",3600000,"2014"
"3841",NA,NA,NA
"3842","Lexus RX300",9e+05,"2002"
"3843","Nissan AD",980000,"2012"
"3844","Toyota Hiace",1200000,"2005"
"3845","Toyota Axio",1690000,"2012"
"3846","Toyota Tacoma",3800000,"2012"
"3847","Daihatsu Mira",670000,"2012"
"3848","Subaru STI",3750000,"2011"
"3849","Toyota Axio",1300000,"2010"
"3850","Nissan b13",190000,"1993"
"3851","Honda Inspire",1940000,"2010"
"3852",NA,NA,NA
"3853","Subaru Impreza",550000,"2004"
"3854","Honda Odyssey",1800000,"2012"
"3855","Toyota Altis",880000,"2004"
"3856","Toyota runx",720000,"2004"
"3857","Nissan wagon",830000,"2012"
"3858","Honda Fit",1300000,"2011"
"3859","Nissan Latio",8e+05,"2007"
"3860","Mazda Wagon",810000,"2007"
"3861","Toyota Altezza",950000,"2002"
"3862","Toyota 4",1150000,"2006"
"3863",NA,NA,NA
"3864","Toyota Corolla",430000,"1995"
"3865","Suzuki Vitara",1980000,"2012"
"3866","Toyota Yaris",1350000,"2011"
"3867","Honda civic",830000,"2004"
"3868","Suzuki Swift",1300000,"2012"
"3869","Honda stream",1350000,"2009"
"3870","Honda Civic",2900000,"2016"
"3871","Toyota Ae100",350000,"1991"
"3872","Honda Fit",1100000,"2010"
"3873","Toyota flatty",15000,"1992"
"3874",NA,NA,NA
"3875","Toyota corolla",1e+05,"2001"
"3876","Peugot 208",1e+06,"2012"
"3877","Toyota Kingfish",850000,"2003"
"3878","Toyota luxel",850000,"2003"
"3879","Toyota Corolla",520000,"1997"
"3880","Mazda Demio",820000,"2012"
"3881","Honda Civic",1500000,"2008"
"3882","Subaru G4",2050000,"2013"
"3883","Honda Fit",1600000,"2012"
"3884","Toyota Corolla",2550000,"2015"
"3885",NA,NA,NA
"3886","Honda Fit",720000,"2007"
"3887","Toyota Fx",175000,"1990"
"3888","Honda Fit",1900000,"2015"
"3889","Toyota corolla",410000,"1996"
"3890","BMW 328i",3400000,"2013"
"3891","Toyota Starlet",450000,"1995"
"3892","Mitsubishi Galant",3e+05,"1999"
"3893","Mercedes C250",8200000,"2015"
"3894","Mitsubishi Canter",2450000,"2005"
"3895","Isuzu DMax",1300000,"2007"
"3896",NA,NA,NA
"3897","Toyota Vitz",1220000,"2012"
"3898","Suzuki Vitara",1450000,"2010"
"3899","Toyota Corolla",1450000,"1999"
"3900","Nissan Latio",1320000,"2013"
"3901","Honda Accord",5e+05,"2000"
"3902","Toyota X",2100000,"2011"
"3903","Toyota Probox",1190000,"2013"
"3904","Mini Countryman",3650000,"2016"
"3905","Nissan Premiera",4e+05,"1999"
"3906","Mazda 2",1350000,"2012"
"3907",NA,NA,NA
"3908","Toyota vitz",1200000,"2012"
"3909","Toyota Axio",1550000,"2011"
"3910","Nissan Lafesta",1800000,"2012"
"3911","Toyota HIACE",560000,"1999"
"3912","Honda sj",6e+05,"1999"
"3913","Mitsubishi galant",4e+05,"2000"
"3914","Audi Q5",4300000,"2013"
"3915","Honda Civic",420000,"1998"
"3916","Suzuki Vitra",970000,"2006"
"3917","Nissan version",850000,"2008"
"3918",NA,NA,NA
"3919","Daihatsu BoonPasso",540000,"2006"
"3920","Toyota corolla",250000,"1989"
"3921","BMW 528i",3700000,"2012"
"3922","Toyota Kluger",850000,"2002"
"3923","Toyota Townace",460000,"1998"
"3924","Honda G",1950000,"2015"
"3925","Honda EK",5e+05,"2000"
"3926","Chevrolet Extreme",1100000,"2000"
"3927","Honda Fit",1300000,"2012"
"3928","Nissan Ad",880000,"2011"
"3929",NA,NA,NA
"3930","Honda Civic",2650000,"2015"
"3931","Honda eg",320000,"1993"
"3932","Nissan Wagon",887000,"2012"
"3933","Toyota Tacoma",1800000,"2002"
"3934","Honda City",1700000,"2012"
"3935","Nissan scrapping",70000,"1993"
"3936","Nissan Wagon",850000,"2012"
"3937","Nissan Wagon",870000,"2012"
"3938","Honda Civic",980000,"2008"
"3939","Honda FIT",1300000,"2012"
"3940",NA,NA,NA
"3941","Honda stream",650000,"2001"
"3942","Honda Civic",1063690,"2012"
"3943","Hyundai sonata",340000,"2002"
"3944","Ford Fiesta",1600000,"2014"
"3945","Toyota Vanguard",1106537,"2012"
"3946","Nissan Wagon",9e+05,"2012"
"3947","Mazda Demio",1050000,"2012"
"3948","Mitsubishi Colt",810000,"2012"
"3949","Subaru Impreza",980000,"2009"
"3950","Toyota blade",980000,"2007"
"3951",NA,NA,NA
"3952","Toyota Camry",665772,"2012"
"3953","Toyota Premio",1650000,"2010"
"3954","Ford xlt",8e+05,"2004"
"3955","Lexus Is350",2e+06,"2007"
"3956","Honda coup",550000,"2005"
"3957","Volkswagen polo",550000,"2004"
"3958","Toyota Axio",1900000,"2013"
"3959","Toyota Axio",1300000,"2012"
"3960","BMW X3",3650000,"2011"
"3961","Honda XL250",165000,"2000"
"3962",NA,NA,NA
"3963","Honda CRV",3700000,"2014"
"3964","Toyota Passo",850000,"2012"
"3965","Toyota Allion",1600000,"2010"
"3966","Suzuki Swift",850000,"2006"
"3967","Suzuki Kizashi",1850000,"2012"
"3968","Mazda Demio",770000,"2010"
"3969","Honda Odyssey",540000,"1997"
"3970","Nissan Cube",650000,"2008"
"3971","Toyota Hilux",510000,"1994"
"3972","Toyota Probox",950000,"2013"
"3973",NA,NA,NA
"3974","Honda Fit",1190000,"2011"
"3975","Land Rover",8500000,"2013"
"3976","Nissan ATLAS",1250000,"2004"
"3977","Nissan Note",7e+05,"2009"
"3978","Honda Civic",3400000,"2016"
"3979","Honda RS",1100000,"2011"
"3980","Toyota Haice",750000,"2001"
"3981","Nissan Bluebird",620000,"2008"
"3982","Toyota fortuner",2230000,"2008"
"3983","Isuzu Elf",2800000,"2007"
"3984",NA,NA,NA
"3985","Honda Accord",7e+05,"1998"
"3986","Suzuki Swift",930000,"2010"
"3987","Land Autobiography",6e+06,"2013"
"3988","Toyota saloon",350000,"1993"
"3989","Honda RSZ",1400000,"2009"
"3990","Toyota Corolla",398000,"1997"
"3991","Audi A3",1950000,"2012"
"3992","Subaru sport",2350000,"2012"
"3993","Honda Fit",6e+05,"2007"
"3994","Honda Accord",6e+05,"1998"
"3995",NA,NA,NA
"3996","Honda Civic",6e+05,"2002"
"3997","Honda Accord",750000,"2001"
"3998","Mitsubishi fortis",1600000,"2012"
"3999","Suzuki Vitara",370000,"2004"
"4000","Toyota probox",1180000,"2012"
"4001","Nissan TIIDA",1070000,"2012"
"4002","Toyota Camry",780000,"2003"
"4003","Nissan Tidda",730000,"2006"
"4004","Nissan Note",690000,"2007"
"4005","Nissan wagon",870000,"2012"
"4006",NA,NA,NA
"4007","Toyota Fielder",1800000,"2012"
"4008","Volkswagen GTI",5e+06,"2016"
"4009","Toyota Corolla",1480000,"2010"
"4010","Honda Civic",750000,"2003"
"4011","Honda Stream",610000,"2001"
"4012","Opel insignia",1280000,"2009"
"4013","Nissan Cefiro",650000,"2007"
"4014","Toyota 2",270000,"1995"
"4015","Mazda Premacy",1300000,"2010"
"4016","Honda Fit",1100000,"2011"
"4017",NA,NA,NA
"4018","Daihatsu BoonPasso",545000,"2006"
"4019","Honda CRV",1300000,"2006"
"4020","Honda Fit",1370000,"2012"
"4021","Suzuki Swift",795000,"2009"
"4022","Honda Stream",1680000,"2010"
"4023","Toyota Wish",2290000,"2012"
"4024","Toyota Vitz",1860000,"2014"
"4025","Honda Insight",1370000,"2010"
"4026","Nissan Tiida",940000,"2009"
"4027","Toyota Pixis",795000,"2012"
"4028",NA,NA,NA
"4029","Toyota Pixix",795000,"2012"
"4030","Daihatsu E5",755000,"2012"
"4031","Honda EK",499000,"1996"
"4032","Honda eg",330000,"1995"
"4033","Nissan TIIDA",790000,"2008"
"4034","Toyota luxel",1375000,"2008"
"4035","Toyota 110",4e+05,"1998"
"4036","Mercedes A180",5600000,"2016"
"4037","Mazda Demio",1e+06,"2012"
"4038","Toyota YARIS",1100000,"2010"
"4039",NA,NA,NA
"4040","Toyota Wish",1800000,"2009"
"4041","Toyota Hilux",2100000,"2007"
"4042","Mercedes A200",4500000,"2013"
"4043","Toyota HIACE",450000,"1994"
"4044","Honda Integra",630000,"1999"
"4045","Toyota ii",550000,"1997"
"4046","Nissan note",1200000,"2015"
"4047","Volkswagen TSI",1600000,"2014"
"4048","Lexus 250",2550000,"2008"
"4049","Honda civic",4e+05,"1998"
"4050",NA,NA,NA
"4051","Honda Odyssey",1100000,"2008"
"4052","Honda Oddyssey",1100000,"2008"
"4053","Toyota Probox",690000,"2004"
"4054","Toyota Tacoma",950000,"2006"
"4055","Toyota Avalon",250000,"1996"
"4056","Honda coupe",540000,"1999"
"4057","Daewoo Musso",3e+05,"2000"
"4058","Mitsubishi Pajero",1200000,"2002"
"4059","Toyota lx",525000,"1992"
"4060","Honda Fit",7e+05,"2004"
"4061",NA,NA,NA
"4062","Honda Civic",8e+05,"2004"
"4063","MG Nitro",80000,"2014"
"4064","Toyota x",1400000,"2008"
"4065","Honda fit",1200000,"2012"
"4066","Nissan Lafesta",650000,"2006"
"4067","Toyota passo",890000,"2012"
"4068","Nissan Wagon",730000,"2010"
"4069","Honda fit",640000,"2004"
"4070","Honda ExI",3800000,"2017"
"4071","Nissan Tida",950000,"2010"
"4072",NA,NA,NA
"4073","Nissan wagon",650000,"2008"
"4074","Honda accord",610000,"2001"
"4075","Honda Stream",1400000,"2009"
"4076","Nissan wagon",850000,"2012"
"4077","Honda Fit",720000,"2007"
"4078","Mazda Demio",685000,"2007"
"4079","Honda Civic",1645000,"2010"
"4080","Toyota wagon",420000,"1992"
"4081","Mitsubishi Colt",950000,"2012"
"4082","Honda Stream",2380090,"2012"
